walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
18,2,15,10,9,0.9081985950469971,557284
18,2,15,10,9,0.7765402793884277,556836
18,2,15,10,9,0.9360263347625732,557000
2,2,25,6,5,0.5211181640625,560416
2,2,25,6,5,0.5354082584381104,561160
2,2,25,6,5,0.5204727649688721,560892
2,2,25,6,5,0.5470731258392334,561028
2,2,25,6,5,0.5348389148712158,560912
4,2,25,8,7,0.566964864730835,561144
4,2,25,8,7,0.5507409572601318,561616
4,2,25,8,7,0.5478005409240723,560188
4,2,25,8,7,0.5591459274291992,560784
4,2,25,8,7,0.5714108943939209,561196
6,2,25,8,7,0.5523731708526611,560864
6,2,25,8,7,0.5626645088195801,560588
6,2,25,8,7,0.5707190036773682,561232
6,2,25,8,7,0.5529630184173584,560736
6,2,25,8,7,0.5716171264648438,560720
8,2,25,14,13,0.7980265617370605,560788
8,2,25,14,13,0.7781267166137695,560312
8,2,25,14,13,0.7047610282897949,560896
8,2,25,14,13,0.761674165725708,560644
8,2,25,14,13,0.7188410758972168,561552
10,2,25,12,12,1.5145857334136963,560724
10,2,25,12,12,1.5102946758270264,561484
10,2,25,12,12,1.623579740524292,561100
10,2,25,12,12,1.5133917331695557,560768
10,2,25,12,12,1.4437570571899414,561540
12,2,25,8,7,0.9497833251953125,559980
12,2,25,8,7,0.7946372032165527,560244
12,2,25,8,7,0.7590827941894531,560548
12,2,25,8,7,0.7631857395172119,560296
12,2,25,8,7,0.772270679473877,560020
14,2,25,13,13,15.43928837776184,559812
14,2,25,13,13,13.246547222137451,560216
14,2,25,13,13,15.006030321121216,560368
14,2,25,13,13,14.103168964385986,559968
14,2,25,13,13,15.32586145401001,559912
16,2,25,7,6,0.6022253036499023,560256
16,2,25,7,6,0.6431350708007812,560240
16,2,25,7,6,0.6344149112701416,559088
16,2,25,7,6,0.5885412693023682,559388
16,2,25,7,6,0.596982479095459,559476
18,2,25,10,9,1.1391510963439941,558720
18,2,25,10,9,0.8118143081665039,558240
18,2,25,10,9,0.8560276031494141,558784
18,2,25,10,9,0.8497474193572998,558884
18,2,25,10,9,1.0271046161651611,558348
2,4,5,6,5,0.8595819473266602,558992
2,4,5,6,5,0.7420015335083008,557172
2,4,5,6,5,0.9719359874725342,558500
2,4,5,6,5,0.749506950378418,558332
2,4,5,6,5,0.7857940196990967,558320
4,4,5,8,7,0.744452714920044,558552
4,4,5,8,7,0.8658275604248047,557436
4,4,5,8,7,0.7302541732788086,557500
4,4,5,8,7,0.7557215690612793,557428
4,4,5,8,7,0.7214884757995605,557396
6,4,5,8,7,0.7899880409240723,557304
6,4,5,8,7,0.7376344203948975,559260
6,4,5,8,7,0.6917684078216553,559120
6,4,5,8,7,0.694403886795044,557368
6,4,5,8,7,0.7102046012878418,557500
8,4,5,14,13,0.8023488521575928,558100
8,4,5,14,13,0.8029112815856934,557792
8,4,5,14,13,0.8126635551452637,557272
8,4,5,14,13,0.7978723049163818,558392
8,4,5,14,13,0.8129739761352539,557848
10,4,5,12,12,1.296203374862671,558328
10,4,5,12,12,1.253462791442871,558216
10,4,5,12,12,1.2598590850830078,558936
10,4,5,12,12,1.2574653625488281,557072
10,4,5,12,12,1.3349075317382812,557848
12,4,5,8,7,0.7109944820404053,558620
12,4,5,8,7,0.6555271148681641,557636
12,4,5,8,7,0.684267520904541,557972
12,4,5,8,7,0.6922273635864258,557180
12,4,5,8,7,0.8270506858825684,558188
14,4,5,13,13,9.27236557006836,559208
14,4,5,13,13,10.240824222564697,556888
14,4,5,13,13,10.906084299087524,557116
14,4,5,13,13,10.031176805496216,557192
14,4,5,13,13,9.843040943145752,556440
16,4,5,7,6,0.5896940231323242,557880
16,4,5,7,6,0.5960373878479004,557568
16,4,5,7,6,0.6716718673706055,558788
16,4,5,7,6,0.6307163238525391,557148
16,4,5,7,6,0.5680932998657227,557024
18,4,5,10,9,0.8300721645355225,557004
18,4,5,10,9,0.8530032634735107,557132
18,4,5,10,9,1.2482023239135742,556560
18,4,5,10,9,0.8471856117248535,557036
18,4,5,10,9,0.838670015335083,557288
2,4,15,6,5,0.5769963264465332,559292
2,4,15,6,5,0.5078556537628174,559312
2,4,15,6,5,0.5396997928619385,559528
2,4,15,6,5,0.5303478240966797,559544
2,4,15,6,5,0.8159680366516113,560284
4,4,15,8,7,0.5520358085632324,559316
4,4,15,8,7,0.46813178062438965,559236
4,4,15,8,7,0.48464179039001465,559760
4,4,15,8,7,0.4474611282348633,559488
4,4,15,8,7,0.47356390953063965,559420
6,4,15,8,7,0.621016263961792,559296
6,4,15,8,7,0.5926010608673096,559484
6,4,15,8,7,0.4739353656768799,559496
6,4,15,8,7,0.4502253532409668,559492
6,4,15,8,7,0.46605443954467773,559844
